nlat,nlon,nmag,ndepth,ndist,nrfAmp
4.347868,3.219713,5.9,11.0730936496245,4.9593895712508,2.52143405874642
5.496188,3.904862,5.6,10,8.03904973952858,5.0652713115909
5.49826,3.903774,6.7,10,8.03106289108042,5.0652713115909
5.037682,6.264288,6.3,6.1782892602584,4.71591773744846,2.90367648410491
4.879772,6.514768,6.1,12.8509720893847,4.83628821562983,2.78344932153989
4.368542,4.283256,8.3,7.40179929663872,5.52162700429617,5.0652713115909
4.364996,4.282575,6.1,7.8061979146451,5.51855345965071,5.0652713115909
4.37789,4.28595,5.6,6.3391771678508,5.52925820496859,5.0652713115909
4.368514,4.283283,5.7,6.47639852180729,5.52158512644742,5.0652713115909
4.341702,4.283936,5.9,10,5.49554901665951,2.74068657687246
4.355416,4.276322,5.6,12.8509720893847,5.5125691306513,2.27522726420101
4.352638,4.277708,6.2,11.0730936496245,5.50917974895151,3.05195376885216
5.305534,4.540114,6,10,6.09747942987602,3.6811402657776
4.407178,4.27923,6.1,12.8509720893847,5.56229889198307,3.03627532903938
4.378002,4.284098,5.7,6.91009536168288,5.53040054784668,2.49079645893949
4.35333,4.279371,6.2,7.96639770196912,5.50898728253154,3.27710613591782
4.368486,4.282569,6.1,6.76992492528846,5.5219450899883,2.96452104321098
4.36545,4.286208,6.6,6.47639852180729,5.51702340898806,3.71166200049045
4.371118,4.287347,6,5.67077308316706,5.52188170995136,2.81901244730205
6.015664,3.697916,5.7,10,6.45227938714837,4.05407464774949
4.987576,6.312622,6.6,7.96639770196912,4.72925310963756,3.46016517136216
4.796166,6.605201,5.8,7.10620489665792,4.88725371900357,3.45940290493657
4.523944,4.333874,5.9,4.27269334763976,5.64473156271935,2.62015239533083
4.250886,4.263239,5.8,8.60388527113034,5.42207402448265,2.76188841701087
4.39393,4.284682,5.9,6.52963608491131,5.54581744649207,2.7216030463641
3.785666,4.791508,5.5,10,4.92373236562246,3.09773956586712
5.97719,6.562259,6,9.26628408029127,5.24417390095454,3.5185007911218
6.111924,6.592114,5.6,4.07357717911564,5.3275204418647,2.29373139287964
4.490652,4.355161,5.8,8.12711509291959,5.59180647802754,2.76252314634902
4.146786,4.175474,5.6,9.94421844995429,5.35616029391424,2.3007135925292
4.675964,3.267392,6,9.26628408029127,5.09300131414272,3.27189770470619
4.70281,6.673028,7.1,4.69410012078276,4.92172842814426,3.91229549098354
4.956678,6.382666,5.8,11.0730936496245,4.76356481904859,2.15825640085793
5.730488,5.703676,7.5,4.23081287667882,4.89275760302496,4.42171660122987
4.535064,4.315831,5.8,4.88920336969581,5.67252664602798,2.54349134205499
6.03163,3.266661,5.8,8.97711717502623,5.57661137825152,3.24893719548109
4.833238,6.248754,6.5,7.68621786840241,4.65955427327909,3.15344711522897
4.410716,4.276985,6.2,8.97711717502623,5.56720440761076,3.74364560976687
4.382408,4.285481,6.8,6.0141048861498,5.53395418360858,3.81262074006124
4.385546,4.286096,5.7,6.16048321052938,5.53669676570402,2.7105755924039
5.015726,5.988905,5.7,5.43818416115412,4.61192801064522,2.44453967376568
5.137564,5.945455,5.5,11.0730936496245,4.6448118304359,3.05187801483432
6.030004,3.270887,5.6,8.30482023721841,5.58169584762233,3.06661688241066
5.136862,5.94648,6.6,10,4.64467081985114,3.01108112135853
6.032788,3.269254,6.5,8.50274153727602,5.58032605914073,4.06937978070067
4.817226,3.913558,5.6,10,6.11250490072195,2.38605781639175
4.821168,6.102187,5.5,5.21055126678276,4.59033858282179,2.84619024667949
5.7734,5.206,6.5,9.60252567789128,5.17158245529035,3.9532446409537
4.822012,6.584217,6.8,9.09069645036344,4.87637382618922,4.04544298263122
5.52713,6.426429,5.8,8.72502869549156,4.96253077126598,2.60001574646608
4.857032,6.299375,6.1,5.22516857506527,4.69192189872719,2.56304273706312
4.388492,4.282324,5.8,6.98634424763128,5.54174791374283,2.54110272555563
5.339524,4.010884,5.6,6.52963608491131,8.40495908969343,3.25881585823741
5.375574,6.452659,6,3.61199996154307,4.92799379168047,2.49578113421973
4.998038,4.82166,5.5,10,5.32627903815044,2.32492394093724
4.798804,4.289816,7.6,3.58065671865213,6.05458592749607,4.70481421796153
4.81635,4.287426,6.7,3.59694475922988,6.08690089956247,3.68607828513673
5.261812,4.110524,5.6,5.82749447260297,8.0362287890811,3.15094403016384
4.04767,5.850913,7.1,6.47639852180729,4.52229985563285,3.76555150414435
5.764214,5.727797,7.2,7.44921859773347,4.90304191075354,4.11921063556438
4.37203,4.287376,5.5,5.90016335481579,5.52275068625906,4.29717648074165
5.284394,4.091095,5.7,5.1967508419557,8.24165144153358,3.21701597990899
4.177834,4.099297,5.5,10,5.38978032097649,2.254428357124
5.31603,4.06367,6.6,5.18290759291577,8.50449753131358,4.31527732938739
4.632362,6.693857,6,10,4.92310914095557,2.58896404874047
4.387894,4.286943,5.8,5.93716115965187,5.538530475761,2.52651533795433
5.07291,6.176359,6.1,8.72502869549156,4.68463574989595,2.84855210103004
4.185438,4.135644,5.8,10,5.39454745060806,2.35180501163091
5.72987,5.711263,6.3,4.32176916288421,4.8908100435535,3.00443847664652
5.22307,4.133795,5.8,7.68621786840241,7.7135877232631,3.81082404944218
3.98885,6.394489,6.3,10,4.67343404851512,2.83640819062937
5.496072,5.936505,6.7,5.74592874253472,4.77311167799464,3.21755304110777
5.07793,6.268621,6.5,8.97711717502623,4.72883622634445,3.57821268408097
4.696594,3.25125,5.9,4.13230696728268,5.08330106247777,2.64739886123833
4.604806,4.366712,6.1,3.61619099552485,5.69960019193643,3.55855171842997
5.839446,6.42781,6.7,6.0141048861498,5.08846312233818,3.55692611565485
4.571824,6.761244,5.8,11.7898235189233,4.96564924240166,2.47581508741195
5.753418,6.016409,5.9,10.4795163714469,4.89120651447323,2.48706611266451
4.609352,3.266167,5.7,5.79953601178403,5.07092300017719,2.38849747841927
5.712986,4.963182,6.3,9.26628408029127,5.40855961705607,3.97356510044698
5.064116,6.28392,5.5,6.13527407323679,4.73310262410801,2.25769292805539
4.894096,6.532454,6.1,7.06727092375328,4.85277990572878,2.76430673621844
6.079552,6.585463,7.2,4.44845147833289,5.30785064551427,4.34433538474883
3.73474,6.691485,6.1,10,4.7974670027302,2.29024787073594
5.45875,6.206014,6.4,7.34361135573556,4.82131079278617,3.0619756245228
4.867586,6.547421,6.4,6.83808375993889,4.85808120117901,3.24880206771774
4.388554,4.284162,6.3,6.83808375993889,5.5407702174203,3.35447340433076
4.019038,6.644987,5.9,10,4.79436849998464,2.49612455702176
4.671116,4.263955,5.7,6.83808375993889,5.89114870995474,2.98512019920634
5.017194,6.290605,6,10.4795163714469,4.7244915844639,2.74020226719279
5.093998,4.673725,5.5,10,5.61563417399036,2.37486132695125
4.391516,4.277033,6,9.26628408029127,5.54772217873516,2.94189594820489
3.739134,6.45002,5.8,10,4.71364736627858,2.57464839411979
4.900958,5.943299,7.8,7.24526775162254,4.57172807386716,4.27708668648649
4.938024,6.488388,5.6,10,4.83045933240345,2.4751832519525
4.697838,3.265719,5.9,6.58538570992912,5.09830048271482,2.86019624914545
6.028994,3.260275,5.6,9.05677697562832,5.56756634158134,2.88067790643417
6.031296,3.260577,6.3,7.82011483099541,5.56861754431372,3.97868620306791
5.99346,3.701515,5.5,10,6.48214561169395,3.33758102850256
6.03029,3.258577,6,8.12711509291959,5.56574881644601,3.62662287920217
5.237352,4.112323,5.6,10,7.85009570891788,3.24101884713884
5.35992,4.392981,6,7.06727092375328,6.76826690357442,3.55741314277909
6.08588,6.628129,6.4,6.76992492528846,5.34506934562771,4.06049221120474
4.946994,5.680253,5.6,10,4.62264761542945,2.59759455377751
5.604146,3.856922,5.5,10,7.65231206012599,3.79827205684935
6.0458,3.313071,5.5,9.51686392406824,5.64303939230126,3.33183548284346
5.667614,6.363901,5.9,8.72502869549156,4.97786113249771,2.73104999786988
4.93283,6.44887,6.2,12.8509720893847,4.80146538484923,2.80762629923274
4.71353,6.668551,6.9,7.06727092375328,4.92044262887168,3.75832459540777
5.084146,6.266515,5.9,6.47639852180729,4.72944602864202,2.47230104610993
4.716968,6.667012,5.8,6.47639852180729,4.91994522421302,3.44816437785488
4.718634,6.666245,6.7,7.24526775162254,4.91968669615195,3.4479976746939
4.835928,6.073857,6.1,6.83808375993889,4.58370625293225,2.5648480612117
4.72039,6.665943,6.7,6.94082123704873,4.91983716759301,3.52664080589645
5.321114,4.037437,5.5,7.15338279036696,8.43111225089624,3.08874203817547
5.72945,5.711311,6.6,4.29860544556437,4.89061111075683,3.63381616437422
6.022486,6.795394,5.6,7.82011483099541,5.48608576478097,2.84578002227029
6.03709,6.766748,5.6,7.34361135573556,5.45890282948518,3.05786514722555
4.924864,3.960633,5.8,10,6.39837962968368,3.07767832572665
5.461888,5.948654,6.9,4.68704834056149,4.7605150922132,3.75574294492163
5.155834,6.220231,6,8.12711509291959,4.72747256329199,2.51421802252413
6.0754,6.608036,5.8,6.64385618977472,5.32396480942585,2.85970671812203
4.710186,6.665026,5.9,11.4505486063339,4.91674350221074,2.71711894994499
4.709432,6.664334,6.4,8.30482023721841,4.91599760446321,3.08766321627953
5.268016,4.07633,6.1,7.40498374780667,8.08958401250402,4.02291857482516
5.655812,6.307543,7,10,4.94296500607044,4.31022153123879
4.40849,3.884259,5.5,10,5.55092681633534,2.0553883176553
4.992296,4.197987,5.8,7.2500253724123,6.61191662283301,2.99226599882213
4.995312,4.193057,5.6,10,6.62874554582655,2.96064735313648
3.885434,4.727693,6.2,8.72502869549156,4.98090378892578,2.85122679283285
5.264,4.441133,5.6,6.91009536168288,6.40042933690007,2.89081301346771
5.756026,6.416216,5.9,6.57912404927351,5.04540149844617,2.36943442188731
4.994158,4.194961,6,10,6.62228415194556,3.47828227101486
5.012256,4.197478,5.7,10,6.66976034289612,3.15333950677657
3.813852,4.72973,5.5,10,4.95721819898204,2.38747778834519
4.646048,3.267969,5.7,6.97306481555236,5.08410365871732,2.22414056054604
5.290356,4.069118,6,8.30482023721841,8.27043423586861,3.75184850933898
4.679142,6.673786,7,7.24526775162254,4.91699311392257,3.98512232612719
5.205504,3.962637,6.6,10,7.28393759681905,4.43399906686295
4.673026,6.672001,5.8,15.1622576928086,4.91414970246139,2.41366078460649
4.87843,3.928369,5.6,8.49647282950622,6.24783679964492,2.50760426415582
3.884716,3.560945,5.5,10,5.02816196157162,2.11626050779585
4.7029,6.669341,5.7,7.06727092375328,4.91867510555773,2.12652454512837
4.821168,3.917609,5.6,10,6.12515446545055,2.75929774469405
5.367508,3.946629,5.6,10,7.97070324938371,3.44596966451636
5.328214,4.021584,5.8,7.44921859773347,8.39017500201217,3.62122806040643
3.74841,6.65344,5.5,10,4.78388138467425,2.46380101558394
5.493906,6.219839,5.8,11.0730936496245,4.83992022981095,2.20249633233019
5.171198,3.972084,5.8,10,7.18024770737061,3.30280250157093
4.54966,6.729882,5.8,10,4.93424661648243,2.35861549352842
5.008522,4.202101,6.7,8.30482023721841,6.65039514234432,4.34855290696342
5.539848,6.301374,5.9,10,4.8945581722184,3.12800434109125
5.553774,6.285829,5.5,10,4.89213348029217,3.13381002478668
4.583798,3.213519,6.4,3.63114724898004,5.01454975432329,3.11787822423002
4.560552,3.217962,6.9,3.83407018006325,5.01220895917218,3.47660755727946
3.875182,4.730647,7.2,5.28514799724095,4.97620506296064,3.80308122776466
