nlat,nlon,nmag,ndepth,ndist,nrfAmp
4.347868,3.219713,5.9,11.0730936496245,5.0564522583579,3.28791224328086
5.496188,3.904862,5.6,10,7.3633082949728,4.88841328161455
5.49826,3.903774,6.7,10,7.37664068539605,4.87997438849869
5.037682,6.264288,6.3,6.1782892602584,4.946420149623,3.12960505753639
4.879772,6.514768,6.1,12.8509720893847,5.07020761302612,3.51203945077677
4.368542,4.283256,8.3,7.40179929663872,5.13115477581129,5.08839180160196
4.36764,4.28255,6.4,7.01010939824911,5.13105089996891,5.08839180160196
4.364996,4.282575,6.1,7.8061979146451,5.12957608994793,5.08839180160196
4.37789,4.28595,5.6,6.3391771678508,5.13481232866932,5.08839180160196
4.368,4.280811,6.1,6.47639852180729,5.13222155919637,5.08839180160196
4.368756,4.285738,7,6.88008112440306,5.12988173723763,5.08839180160196
4.376652,4.28228,5.7,6.63788024925263,5.13620307027358,5.08839180160196
4.385642,4.281963,5.5,7.59774441841756,5.1414046236639,5.08839180160196
4.371512,4.283124,6.5,6.98634424763128,5.13287271426058,3.82164245024315
4.375512,4.28074,5.7,8.3104455619536,5.13643704585116,3.82112777912863
4.369654,4.28196,6.7,7.34361135573556,5.1324959624103,4.11468352335583
4.371666,4.2802,5.5,8.02564415408245,5.13459911393096,4.10497746007031
4.341702,4.283936,5.9,10,5.11608410860434,2.74669276840516
4.400772,4.281149,5.5,13.2430639059014,5.1504025111799,1.99586996688903
4.355416,4.276322,5.6,12.8509720893847,5.12773722347241,2.3440862642414
4.352638,4.277708,6.2,11.0730936496245,5.1254470757863,3.14612956019128
5.305534,4.540114,6,10,5.46601850048871,3.38324235231137
4.378002,4.284098,5.7,6.91009536168288,5.13592515891342,2.7899163958059
4.35333,4.279371,6.2,7.96639770196912,5.12491865543521,3.35118597751888
4.389488,4.278016,5.6,10,5.145824787778,3.38043496996528
4.36545,4.286208,6.6,6.47639852180729,5.1277987201886,4.00082847435426
6.015664,3.697916,5.7,10,10.7345042578358,4.55206236031045
4.987576,6.312622,6.6,7.96639770196912,4.95995009430088,3.43149263015428
4.796166,6.605201,5.8,7.10620489665792,5.10841752736708,3.42370044389584
4.383704,4.286783,6.3,6.0141048861498,5.13756670191602,3.46226560225919
4.87444,6.516661,5.5,14.3958545492771,5.06947392239999,2.28552687768972
3.858106,3.575618,5.9,10,4.94635562089656,2.7631304980469
4.523944,4.333874,5.9,4.27269334763976,5.18706752871624,2.29022889266891
4.250886,4.263239,5.8,8.60388527113034,5.07822702953785,2.59602004681408
4.39393,4.284682,5.9,6.52963608491131,5.14449159537329,3.04024738514425
6.038974,3.207442,5.7,5.1067789234222,6.30462806583774,2.76584739722988
3.785666,4.791508,5.5,10,4.70987256408485,2.54676340380684
3.910288,3.64292,6.1,10,4.9819749576837,3.16310940257438
4.376302,4.281773,5.6,7.56304195516401,5.13629454323887,2.39173674165687
5.97719,6.562259,6,9.26628408029127,5.77175268619805,3.39625542502699
6.111924,6.592114,5.6,4.07357717911564,5.91048100396086,2.2391381685126
4.490652,4.355161,5.8,8.12711509291959,5.15380309275106,2.45705079859717
4.675964,3.267392,6,9.26628408029127,5.26813608497702,3.61006827131851
5.277308,6.206172,5.8,4.93752581844851,5.00621202758856,2.21773892067124
4.70281,6.673028,7.1,4.69410012078276,5.12106216044268,3.9487929645719
4.956678,6.382666,5.8,11.0730936496245,4.99822274580347,2.4979282677343
5.72918,5.706847,5.9,4.31807931774755,5.03531132277694,4.42203584670065
