0.083071,0.011949,0.58976,0.019785,0.10501,0.0036149,0.0039469,0.0079976
0.13354,0.017067,0.60821,0.066926,0.12235,0.0019639,0.0020635,0.0030932
0.081245,0.012754,0.47195,0.14832,0.90251,0.0024094,0.0033409,0.0033495
0.0051767,0.0071536,0.46078,0.058011,0.1229,0.0044944,0.0079266,0.0033169
0.23996,0.031447,0.53665,0.082006,0.11919,0.0043314,0.0031496,0.0029602
0.10536,0.017233,0.54018,0.029208,0.12097,0.0033177,0.0072182,0.028596
0.10911,0.015808,0.53244,0.040663,0.12146,0.0035043,0.0094177,0.0067976
0.16199,0.0125,0.52363,0.87769,0.90653,0.0026882,0.0057122,0.074533
0.5236,0.17436,0.17614,0.02925,0.21465,0.035779,0.036297,0.0041324
0.15922,0.021329,0.51944,0.02498,0.91068,0.0021545,0.0016213,0.0034008
