4.5,-6.6352,-21,-66.9,6.9626,258.4,326.4,-6.1199,1
4.7,-6.6143,-19.6,-175.8,6.9662,205.9,35.2,-6.1345,2
4.6,-6.5865,-5.6,147.1,7.0298,158.9,43.7,-6.2392,1
4.7,-6.5841,-31.6,-68.9,7.0023,109.4,327.8,-5.7049,1
4.7,-6.5827,-17,-174,6.9495,137.1,34.7,-6.1083,1
4.6,-6.5806,-6.3,130,7.0817,135.6,42.8,-5.592,2
4.7,-6.5763,-5.9,154.8,7.0064,164.2,43.3,-6.2621,1
4.5,-6.5714,0.5,99.7,7.1315,150.8,30.7,-5.4114,2
4.5,-6.5677,-13,167.5,6.9908,253.3,41.2,-6.0787,2
4.6,-6.5677,1.1,126,7.0703,101.3,40.5,-6.1291,1
4.5,-6.562,-14.5,-74,6.912,86.5,329.1,-6.1711,1
4.8,-6.5601,36.5,70.9,7.0308,153.8,7.3,-6.2802,1
4.5,-6.5574,-15.4,-178.7,6.957,417,36.7,-5.9671,1
5,-6.555,-18.2,-174.9,6.9573,197.7,34.9,-6.0679,1
4.9,-6.5523,-24.2,-68.8,6.9714,118.9,327.5,-5.6559,1
5,-6.5468,36.6,70.9,7.0305,219,7.2,-6.058,1
4.6,-6.5409,12.7,125.9,7.0322,65.4,39,-5.889,1
4.7,-6.5408,4.9,126.8,7.056,69.7,40.1,-6.0704,1
4.7,-6.5385,-31,-71.5,6.994,54.6,329.1,-6.1423,1
4.6,-6.5323,15.4,145.9,6.9597,81.5,43.8,-6.2858,1
4.6,-6.5302,-0.6,124,7.0805,57.5,40.4,-6.1786,1
5.2,-6.5279,-7,128,7.0891,251.3,42.7,-6.0302,2
4.8,-6.5133,4.8,126.1,7.0583,50.2,40,-6.232,2
4.7,-6.5128,19.6,10.7,7.0469,10,327.9,-6.03,1
4.7,-6.5093,-33.2,-69.7,7.0069,21.4,328.2,-6.2976,1
4.6,-6.5073,9.5,122.5,7.0525,29.8,38.3,-6.2098,1
4.7,-6.5067,13.7,121,7.0418,35,37.3,-6.2742,1
5,-6.5056,12.2,125.6,7.0349,83,38.9,-5.9862,1
4.7,-6.503,3.2,126.8,7.0615,31.5,40.4,-5.8327,2
4.7,-6.4989,-47.2,-75.2,7.0516,35,330.5,-6.1059,2
4.8,-6.4967,-33.8,-68.6,7.0116,22.4,327.6,-5.8385,1
4.6,-6.494,8.2,126,7.0474,18.3,39.5,-6.0823,1
4.7,-6.494,-1.1,136.6,7.0473,28.4,42.7,-5.9045,1
5.2,-6.4932,-23.9,-66.7,6.9754,180.6,326.5,-6.0783,2
5.2,-6.4894,-5.4,130.2,7.0788,131.8,42.6,-5.8667,1
4.7,-6.4882,-6.4,103.9,7.1437,42.3,35.3,-6.246,1
4.7,-6.488,-5.5,153.7,7.0086,41.8,43.4,-6.2909,1
5,-6.4879,-0.1,-18.6,7.0357,10,317.1,-5.9194,1
4.7,-6.4866,-5.9,102.4,7.1451,41.4,34.4,-5.9617,1
4.5,-6.4858,-5.4,153.8,7.0078,35,43.4,-6.2807,1
4.5,-6.4854,-22.5,-174,6.9735,10,34.2,-6.1711,1
4.9,-6.4849,-34.7,178.9,7.0377,210.5,37.7,-6.242,1
4.6,-6.4842,40.2,75.6,7.0116,43.1,10.3,-6.2781,1
4.9,-6.4841,39.8,140.7,6.879,151.4,46.9,-6.1767,1
4.5,-6.484,17.8,147.1,6.9461,35,44.3,-5.9706,1
4.5,-6.4836,-29.4,-175.9,7.0062,10,35,-5.6531,1
4.5,-6.4809,0.4,126.7,7.0702,10,40.8,-6.0508,1
4.6,-6.4809,-11,162,7.0009,46.5,42.4,-6.1485,1
4.5,-6.4795,-6.4,103.7,7.1441,36.3,35.2,-6.2245,1
5.1,-6.4769,-17.2,-174.1,6.9509,112.9,34.7,-5.9614,2
5.1,-6.4764,-22.5,-68.5,6.9646,94.7,327.3,-6.1403,2
4.5,-6.4736,-40.3,-91.8,7.001,10,341.2,-5.8322,2
5.2,-6.4734,-7,129.7,7.0846,109.6,42.9,-6.2673,1
4.7,-6.4731,-7,150.9,7.0225,24.8,43.6,-6.2142,1
4.6,-6.4708,-55.5,-29.8,7.1483,10,300.9,-5.9851,1
4.5,-6.47,-10.7,162,7,35.9,42.4,-6.066,1
4.9,-6.4695,20.7,143.8,6.9468,60.8,44,-6.2373,1
4.7,-6.4668,-12.6,-77.5,6.8916,22.7,330.6,-6.0731,2
4.5,-6.4634,-13.6,166.3,6.9967,39.7,41.5,-6.2696,1
4.5,-6.4629,29.7,51.5,7.0609,10,353.7,-5.965,1
5,-6.4629,-31.6,-71.5,6.9966,40.2,329.1,-6.2714,1
5,-6.4607,-35,-71.9,7.0097,37.9,329.3,-5.9399,1
5.1,-6.4601,-1,-16,7.0464,10,317.3,-5.9573,1
4.7,-6.46,-56.4,-24.3,7.1588,10,297,-6.1042,2
4.9,-6.4583,18.4,120.8,7.0258,20.5,36.8,-5.8167,1
5.1,-6.4583,-15.3,167.6,6.9988,121.4,41.1,-6.0833,1
5.1,-6.4574,-56,-27.3,7.1534,75.1,299,-6.163,1
5,-6.4568,-26.4,-70.9,6.976,36.9,328.7,-5.8027,1
4.7,-6.4567,-10.8,161.4,7.0023,27,42.5,-6.0458,1
5.1,-6.4561,-0.5,-20,7.0329,10,316.9,-6.265,1
5.2,-6.4547,31.8,138.2,6.9219,350.1,44,-6.079,2
5.1,-6.452,11.5,125.7,7.0373,53,39,-5.966,1
4.7,-6.4516,-11.9,165.4,6.9934,29.9,41.7,-6.148,2
5.3,-6.4515,-24.3,-67.2,6.9759,179.3,326.8,-6.2283,1
5.1,-6.4514,-8.6,-74.5,6.8794,136.5,328.3,-6.164,2
5,-6.4513,-55.1,-31.4,7.145,34.1,302.1,-6.0398,1
4.6,-6.4495,42,142.4,6.8635,64.2,48.3,-6.2902,1
5,-6.4471,35.9,140,6.8983,107.5,45.6,-5.9816,1
4.5,-6.4466,-23.5,-179.7,6.9928,512.8,36.7,-6.1638,1
4.5,-6.4465,32,60.1,7.053,10,359.8,-6.3003,1
4.9,-6.446,-4.3,152.8,7.0073,25.4,43.4,-5.7024,1
